"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14021","Registration with valid data / TC 1","firefox","Tue Mar 18 18:25:40 GMT 2025","passed","Tue Mar 18 18:25:54 GMT 2025","Register","test/register.spec.ts","",""
"","6834","Registration with valid data / TC 1","chromium","Tue Mar 18 18:25:32 GMT 2025","passed","Tue Mar 18 18:25:39 GMT 2025","Register","test/register.spec.ts","",""
"","20457","Password recovery with a valid email but without an activated account / TC 5","webkit","Tue Mar 18 18:25:59 GMT 2025","passed","Tue Mar 18 18:26:20 GMT 2025","","test/lostPassword.spec.ts","",""
"","17482","Login with a valid data, but without an activated account / TC 4","webkit","Tue Mar 18 18:25:59 GMT 2025","passed","Tue Mar 18 18:26:16 GMT 2025","","test/login.spec.ts","",""
"","17946","Registration with empty fields / TC 2","webkit","Tue Mar 18 18:26:07 GMT 2025","passed","Tue Mar 18 18:26:25 GMT 2025","Register","test/register.spec.ts","",""
"","5452","Login with a valid data, but without an activated account / TC 4","chromium","Tue Mar 18 18:25:32 GMT 2025","passed","Tue Mar 18 18:25:37 GMT 2025","","test/login.spec.ts","",""
"","4458","Registration with empty fields / TC 2","chromium","Tue Mar 18 18:25:32 GMT 2025","passed","Tue Mar 18 18:25:36 GMT 2025","Register","test/register.spec.ts","",""
"","10048","Registration with valid data but different passwords / TC 3","firefox","Tue Mar 18 18:25:55 GMT 2025","passed","Tue Mar 18 18:26:05 GMT 2025","Register","test/register.spec.ts","",""
"","7150","Password recovery with a valid email but without an activated account / TC 5","chromium","Tue Mar 18 18:25:32 GMT 2025","passed","Tue Mar 18 18:25:39 GMT 2025","","test/lostPassword.spec.ts","",""
"","10753","Registration with empty fields / TC 2","firefox","Tue Mar 18 18:25:46 GMT 2025","passed","Tue Mar 18 18:25:57 GMT 2025","Register","test/register.spec.ts","",""
"","20138","Registration with valid data but different passwords / TC 3","webkit","Tue Mar 18 18:26:16 GMT 2025","passed","Tue Mar 18 18:26:36 GMT 2025","Register","test/register.spec.ts","",""
"","8151","Registration with valid data but different passwords / TC 3","chromium","Tue Mar 18 18:25:37 GMT 2025","passed","Tue Mar 18 18:25:45 GMT 2025","Register","test/register.spec.ts","",""
"","15201","Login with a valid data, but without an activated account / TC 4","firefox","Tue Mar 18 18:25:38 GMT 2025","passed","Tue Mar 18 18:25:54 GMT 2025","","test/login.spec.ts","",""
"","15975","Password recovery with a valid email but without an activated account / TC 5","firefox","Tue Mar 18 18:25:40 GMT 2025","passed","Tue Mar 18 18:25:56 GMT 2025","","test/lostPassword.spec.ts","",""
"","19234","Registration with valid data / TC 1","webkit","Tue Mar 18 18:26:00 GMT 2025","passed","Tue Mar 18 18:26:19 GMT 2025","Register","test/register.spec.ts","",""
