"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3705","Registration with empty fields / TC 2","chromium","Tue Mar 18 18:40:53 GMT 2025","passed","Tue Mar 18 18:40:56 GMT 2025","Register","test/register.spec.ts","",""
"","15975","Password recovery with a valid email but without an activated account / TC 5","firefox","Tue Mar 18 18:25:40 GMT 2025","passed","Tue Mar 18 18:25:56 GMT 2025","","test/lostPassword.spec.ts","",""
"","3","Registration with empty fields / TC 2","webkit","Tue Mar 18 18:41:24 GMT 2025","failed","Tue Mar 18 18:41:24 GMT 2025","Register","test/register.spec.ts","",""
"","11255","Login with a valid data, but without an activated account / TC 4","firefox","Tue Mar 18 18:40:58 GMT 2025","passed","Tue Mar 18 18:41:09 GMT 2025","","test/login.spec.ts","",""
"","6043","Password recovery with a valid email but without an activated account / TC 5","chromium","Tue Mar 18 18:40:52 GMT 2025","passed","Tue Mar 18 18:40:59 GMT 2025","","test/lostPassword.spec.ts","",""
"","14021","Registration with valid data / TC 1","firefox","Tue Mar 18 18:25:40 GMT 2025","passed","Tue Mar 18 18:25:54 GMT 2025","Register","test/register.spec.ts","",""
"","7","Registration with valid data but different passwords / TC 3","webkit","Tue Mar 18 18:41:24 GMT 2025","failed","Tue Mar 18 18:41:24 GMT 2025","Register","test/register.spec.ts","",""
"","12145","Registration with valid data but different passwords / TC 3","firefox","Tue Mar 18 18:41:10 GMT 2025","passed","Tue Mar 18 18:41:22 GMT 2025","Register","test/register.spec.ts","",""
"","6627","Registration with valid data but different passwords / TC 3","chromium","Tue Mar 18 18:40:57 GMT 2025","passed","Tue Mar 18 18:41:03 GMT 2025","Register","test/register.spec.ts","",""
"","9","Password recovery with a valid email but without an activated account / TC 5","webkit","Tue Mar 18 18:41:24 GMT 2025","failed","Tue Mar 18 18:41:24 GMT 2025","","test/lostPassword.spec.ts","",""
"","10753","Registration with empty fields / TC 2","firefox","Tue Mar 18 18:25:46 GMT 2025","passed","Tue Mar 18 18:25:57 GMT 2025","Register","test/register.spec.ts","",""
"","4667","Registration with valid data / TC 1","chromium","Tue Mar 18 18:40:53 GMT 2025","passed","Tue Mar 18 18:40:57 GMT 2025","Register","test/register.spec.ts","",""
"","9","Login with a valid data, but without an activated account / TC 4","webkit","Tue Mar 18 18:41:23 GMT 2025","failed","Tue Mar 18 18:41:23 GMT 2025","","test/login.spec.ts","",""
"","3","Registration with valid data / TC 1","webkit","Tue Mar 18 18:41:24 GMT 2025","failed","Tue Mar 18 18:41:24 GMT 2025","Register","test/register.spec.ts","",""
"","4229","Login with a valid data, but without an activated account / TC 4","chromium","Tue Mar 18 18:40:53 GMT 2025","passed","Tue Mar 18 18:40:57 GMT 2025","","test/login.spec.ts","",""
