"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6426","Registration with valid data / TC 001","chromium","Mon Mar 17 09:23:32 GMT 2025","passed","Mon Mar 17 09:23:38 GMT 2025","Register","test/register.spec.ts","",""
"","8437","Registration with valid data / TC 001","webkit","Mon Mar 17 09:23:53 GMT 2025","passed","Mon Mar 17 09:24:01 GMT 2025","Register","test/register.spec.ts","",""
"","10003","Registration with valid data / TC 001","firefox","Mon Mar 17 09:23:40 GMT 2025","passed","Mon Mar 17 09:23:50 GMT 2025","Register","test/register.spec.ts","",""
"","19620","Login with a valid email, but without an activated account / TC 004","webkit","Mon Mar 17 08:10:31 GMT 2025","passed","Mon Mar 17 08:10:51 GMT 2025","","test/login.spec.ts","",""
"","4957","Registration with empty fields / TC 002","webkit","Mon Mar 17 09:23:55 GMT 2025","passed","Mon Mar 17 09:24:00 GMT 2025","Register","test/register.spec.ts","",""
"","9015","Login with a valid email, but without an activated account / TC 004","firefox","Mon Mar 17 08:10:12 GMT 2025","passed","Mon Mar 17 08:10:21 GMT 2025","","test/login.spec.ts","",""
"","10530","Registration with different passwords / TC 003","webkit","Mon Mar 17 08:10:51 GMT 2025","passed","Mon Mar 17 08:11:01 GMT 2025","Register","test/register.spec.ts","",""
"","6990","Login with a valid data, but without an activated account / TC 004","webkit","Mon Mar 17 09:23:52 GMT 2025","passed","Mon Mar 17 09:23:59 GMT 2025","","test/login.spec.ts","",""
"","3953","Login with a valid data, but without an activated account / TC 004","chromium","Mon Mar 17 09:23:32 GMT 2025","passed","Mon Mar 17 09:23:36 GMT 2025","","test/login.spec.ts","",""
"","4735","Registration with valid data but different passwords / TC 003","chromium","Mon Mar 17 09:23:36 GMT 2025","passed","Mon Mar 17 09:23:40 GMT 2025","Register","test/register.spec.ts","",""
"","9121","Password recovery with a valid email but without an activated account / TC 005","webkit","Mon Mar 17 09:23:52 GMT 2025","passed","Mon Mar 17 09:24:01 GMT 2025","","test/lostPassword.spec.ts","",""
"","5364","Login with a valid data, but without an activated account / TC 004","firefox","Mon Mar 17 09:23:37 GMT 2025","passed","Mon Mar 17 09:23:42 GMT 2025","","test/login.spec.ts","",""
"","6796","Password recovery with a valid email but without an activated account / TC 005","chromium","Mon Mar 17 09:23:32 GMT 2025","passed","Mon Mar 17 09:23:38 GMT 2025","","test/lostPassword.spec.ts","",""
"","11951","Registration with different passwords / TC 003","firefox","Mon Mar 17 08:10:23 GMT 2025","passed","Mon Mar 17 08:10:35 GMT 2025","Register","test/register.spec.ts","",""
"","8542","Password recovery with a valid email but without an activated account / TC 005","firefox","Mon Mar 17 09:23:39 GMT 2025","passed","Mon Mar 17 09:23:48 GMT 2025","","test/lostPassword.spec.ts","",""
"","4742","Login with a valid email, but without an activated account / TC 004","chromium","Mon Mar 17 08:10:06 GMT 2025","passed","Mon Mar 17 08:10:11 GMT 2025","","test/login.spec.ts","",""
"","7905","Registration with different passwords / TC 003","chromium","Mon Mar 17 08:10:11 GMT 2025","passed","Mon Mar 17 08:10:19 GMT 2025","Register","test/register.spec.ts","",""
"","6075","Registration with empty fields / TC 002","firefox","Mon Mar 17 09:23:42 GMT 2025","passed","Mon Mar 17 09:23:48 GMT 2025","Register","test/register.spec.ts","",""
"","6451","Registration with valid data but different passwords / TC 003","webkit","Mon Mar 17 09:23:59 GMT 2025","passed","Mon Mar 17 09:24:05 GMT 2025","Register","test/register.spec.ts","",""
"","6893","Registration with valid data but different passwords / TC 003","firefox","Mon Mar 17 09:23:44 GMT 2025","passed","Mon Mar 17 09:23:51 GMT 2025","Register","test/register.spec.ts","",""
"","3727","Registration with empty fields / TC 002","chromium","Mon Mar 17 09:23:32 GMT 2025","passed","Mon Mar 17 09:23:36 GMT 2025","Register","test/register.spec.ts","",""
